NXN	ENSG00000167693	219489_s_at
SNX19	ENSG00000120451	202359_s_at,202358_s_at
DBN1	ENSG00000113758	217025_s_at,202806_at
SMTN	ENSG00000183963	207390_s_at,209427_at
SLC2A5	ENSG00000142583	204429_s_at,204430_s_at
DCAKD	ENSG00000172992	221225_at,221224_s_at
ELF4	ENSG00000102034	31845_at,203490_at
MGAT3	ENSG00000128268	208058_s_at,209764_at
XCL1	ENSG00000143184	206365_at,206366_x_at
EFNA5	ENSG00000184349	214036_at,207301_at
ARF1	ENSG00000143761	200065_s_at,208750_s_at
TRPM1	ENSG00000134160	206479_at,214410_at
TEF	ENSG00000167074	215673_at,210167_s_at
TERF1	ENSG00000147601	203449_s_at,203448_s_at
DCLRE1C	ENSG00000152457	219678_x_at,222233_s_at
ZNF467	ENSG00000181444	213559_s_at,214746_s_at
RBPJ	ENSG00000168214	211974_x_at,207785_s_at
LAPTM5	ENSG00000162511	201720_s_at,201721_s_at
MATN1	ENSG00000162510	206904_at,206905_s_at
RAD51B	ENSG00000182185	216880_at,210255_at
ATPAF2	ENSG00000171953	214330_at,213057_at
ZNF710	ENSG00000140548	39891_at,213542_at
ARFRP1	ENSG00000101246	215984_s_at,203174_s_at
ITGAM	ENSG00000169896	205785_at,205786_s_at
MUC3A	ENSG00000169894	214676_x_at,217117_x_at
ANXA11	ENSG00000122359	214783_s_at,206200_s_at
ESRRA	ENSG00000173153	203193_at,1487_at
RHOD	ENSG00000173156	209885_at,31846_at
IGSF9B	ENSG00000080854	215166_at,215255_at
CD55	ENSG00000196352	201925_s_at,201926_s_at
CKLF	ENSG00000217555	219161_s_at,221058_s_at
SPG21	ENSG00000090487	217827_s_at,215383_x_at
GCN1L1	ENSG00000089154	216232_s_at,212139_at
TMEM231	ENSG00000205084	219182_at,64900_at
FAM168A	ENSG00000054965	36612_at,212357_at
SAFB2	ENSG00000130254	203280_at,32099_at
NGLY1	ENSG00000151092	207492_at,220742_s_at
GRK4	ENSG00000125388	210600_s_at,208365_s_at
ABCE1	ENSG00000164163	201873_s_at,201872_s_at
BAZ1A	ENSG00000198604	217985_s_at,217986_s_at
ATP10A	ENSG00000206190	214256_at,214255_at
PRDM10	ENSG00000170325	219515_at,214158_s_at
NFRKB	ENSG00000170322	213028_at,206968_s_at
ROCK2	ENSG00000134318	202762_at,211504_x_at
ZFAND6	ENSG00000086666	221613_s_at,222186_at
POLR2D	ENSG00000144231	214144_at,203664_s_at
SNRNP27	ENSG00000124380	212438_at,212440_at
ETNK1	ENSG00000139163	222262_s_at,219017_at
FRYL	ENSG00000075539	212546_s_at,212548_s_at
NEDD4L	ENSG00000049759	212448_at,212445_s_at
BCAP29	ENSG00000075790	205084_at,217657_at
KDM4C	ENSG00000107077	209984_at,214861_at
DOCK5	ENSG00000147459	219921_s_at,215361_at
CAV1	ENSG00000105974	212097_at,203065_s_at
COL6A2	ENSG00000142173	209156_s_at,213290_at
LRP1	ENSG00000123384	200784_s_at,200785_s_at
CSPG5	ENSG00000114646	39966_at,205344_at
RND2	ENSG00000108830	214393_at,213467_at
KLHL18	ENSG00000114648	212882_at,207976_at
ZNF764	ENSG00000169951	222120_at,57516_at
LRP6	ENSG00000070018	34697_at,205606_at
CELSR3	ENSG00000008300	205165_at,40020_at
TUB	ENSG00000166402	210737_at,208431_s_at
LRRC1	ENSG00000137269	218816_at,207790_at
PHF8	ENSG00000172943	215065_at,212916_at
LCK	ENSG00000182866	204891_s_at,204890_s_at
BCL6	ENSG00000113916	215990_s_at,203140_at
RUNDC3A	ENSG00000108309	206196_s_at,213439_x_at
AKAP11	ENSG00000023516	215336_at,203156_at
MAG	ENSG00000105695	217447_at,216617_s_at
ADK	ENSG00000156110	204119_s_at,204120_s_at
MIA3	ENSG00000154305	212305_s_at,212310_at
ARVCF	ENSG00000099889	217516_x_at,205784_x_at
RMND5B	ENSG00000145916	213297_at,218262_at
HSBP1	ENSG00000230989	200941_at,200942_s_at
AHNAK	ENSG00000124942	211986_at,220016_at
BZW1	ENSG00000082153	200777_s_at,200776_s_at
PHKA2	ENSG00000044446	209438_at,209439_s_at
XPO6	ENSG00000169180	211982_x_at,214784_x_at
DSC3	ENSG00000134762	206032_at,206033_s_at
SEC62	ENSG00000008952	208943_s_at,208942_s_at
DLGAP2	ENSG00000198010	216916_s_at,210227_at
ARHGEF9	ENSG00000131089	203263_s_at,203264_s_at
RAB11A	ENSG00000103769	200863_s_at,200864_s_at
CEP170	ENSG00000143702	207719_x_at,212746_s_at
SRR	ENSG00000167720	219205_at,219204_s_at
KCNAB2	ENSG00000069424	211791_s_at,203402_at
CFDP1	ENSG00000153774	210701_at,203166_at
IFT122	ENSG00000163913	220744_s_at,216678_at
UBE2G2	ENSG00000184787	209042_s_at,209041_s_at
NOTCH3	ENSG00000074181	203238_s_at,203237_s_at
MAN1B1	ENSG00000177239	65884_at,218636_s_at
SPRY4	ENSG00000187678	221489_s_at,220983_s_at
KIAA1033	ENSG00000136051	215936_s_at,212794_s_at
METTL3	ENSG00000165819	213653_at,209265_s_at
DIDO1	ENSG00000101191	213213_at,218325_s_at
CD93	ENSG00000125810	202877_s_at,202878_s_at
CCDC22	ENSG00000101997	206016_at,214037_s_at
LEPROT	ENSG00000213625	202377_at,202378_s_at
ZNF277	ENSG00000198839	218645_at,215887_at
SMG5	ENSG00000198952	34868_at,212147_at
ARFIP1	ENSG00000164144	214483_s_at,218230_at
NAGA	ENSG00000198951	202944_at,202943_s_at
DDX19A	ENSG00000168872	202577_s_at,202578_s_at
CNOT1	ENSG00000125107	200860_s_at,200861_at
RNF19B	ENSG00000116514	36564_at,213038_at
ABCC1	ENSG00000103222	202805_s_at,202804_at
MAGED2	ENSG00000102316	213627_at,208682_s_at
RBMX2	ENSG00000134597	204098_at,204097_s_at
ERLIN2	ENSG00000147475	221543_s_at,221542_s_at
ANKRD26	ENSG00000107890	205705_at,205706_s_at
TUBA1C	ENSG00000167553	211750_x_at,209251_x_at
DLX4	ENSG00000108813	210259_s_at,208216_at
ANGPT2	ENSG00000091879	205572_at,211148_s_at
DENND3	ENSG00000105339	212975_at,212974_at
MDH2	ENSG00000146701	209036_s_at,213333_at
NOV	ENSG00000136999	204501_at,214321_at
BAG5	ENSG00000166170	202984_s_at,202985_s_at
KIAA0391	ENSG00000100890	202713_s_at,202714_s_at
RPS7	ENSG00000171863	200082_s_at,213941_x_at
PEG10	ENSG00000242265	212094_at,212092_at
SUN1	ENSG00000164828	212074_at,206487_at
NRCAM	ENSG00000091129	216959_x_at,204105_s_at
KITLG	ENSG00000049130	207029_at,211124_s_at
ZNF235	ENSG00000159917	220350_at,210595_at
NSUN5P1	ENSG00000223705	213670_x_at,214100_x_at
IQCB1	ENSG00000173226	205995_x_at,211707_s_at
MAP7D3	ENSG00000129680	219626_at,219576_at
TBC1D13	ENSG00000107021	218596_at,44696_at
CD4	ENSG00000010610	203547_at,216424_at
ZHX3	ENSG00000174306	217367_s_at,212545_s_at
ZNF512B	ENSG00000196700	221869_at,55872_at
CRK	ENSG00000167193	202225_at,202226_s_at
ZFYVE26	ENSG00000072121	213073_at,37943_at
DHODH	ENSG00000102967	213631_x_at,213632_at
CLIP1	ENSG00000130779	210716_s_at,201975_at
NRG2	ENSG00000158458	208062_s_at,206879_s_at
PIGF	ENSG00000151665	205078_at,205077_s_at
FSCN1	ENSG00000075618	210933_s_at,201564_s_at
PLXNA1	ENSG00000114554	221538_s_at,221537_at
DALRD3	ENSG00000178149	221934_s_at,218808_at
INTS7	ENSG00000143493	222250_s_at,218783_at
ZCCHC11	ENSG00000134744	217594_at,212704_at
SMYD2	ENSG00000143499	212922_s_at,212921_at
MAP1B	ENSG00000131711	214577_at,212233_at
PRKD1	ENSG00000184304	205880_at,217705_at
ANAPC13	ENSG00000129055	215282_at,209001_s_at
RRP7A	ENSG00000189306	33307_at,202937_x_at
INTS6	ENSG00000102786	222239_s_at,218819_at
CPS1	ENSG00000021826	204920_at,217564_s_at
PBRM1	ENSG00000163939	221212_x_at,220355_s_at
TKT	ENSG00000163931	208700_s_at,208699_x_at
NKIRAS2	ENSG00000168256	222105_s_at,218240_at
NAMPT	ENSG00000105835	217739_s_at,217738_at
NCAPG	ENSG00000109805	218662_s_at,218663_at
HDAC6	ENSG00000094631	216224_s_at,211722_s_at
PPIF	ENSG00000108179	201490_s_at,201489_at
IPO9	ENSG00000198700	213785_at,217885_at
NEB	ENSG00000183091	215368_at,205054_at
TRIB2	ENSG00000071575	202478_at,202479_s_at
SLC39A6	ENSG00000141424	202088_at,202089_s_at
MAPKAPK2	ENSG00000162889	201461_s_at,215050_x_at
USP15	ENSG00000135655	210681_s_at,209475_at
PEX19	ENSG00000162735	201707_at,201706_s_at
PEA15	ENSG00000162734	200787_s_at,200788_s_at
ATF2	ENSG00000115966	212984_at,205446_s_at
RAB26	ENSG00000167964	50965_at,219562_at
MYL6	ENSG00000092841	214002_at,212082_s_at
PLA2G5	ENSG00000127472	215870_s_at,206178_at
CERS6	ENSG00000172292	212442_s_at,212446_s_at
PSEN1	ENSG00000080815	207782_s_at,203460_s_at
MUC1	ENSG00000185499	213693_s_at,211695_x_at
SNRPB	ENSG00000125835	208821_at,213175_s_at
SSB	ENSG00000138385	201138_s_at,201139_s_at
METTL5	ENSG00000138382	221570_s_at,220839_at
ACAP2	ENSG00000114331	212476_at,212477_at
CAMK1G	ENSG00000008118	217128_s_at,215161_at
GSTM4	ENSG00000168765	210912_x_at,204149_s_at
DSCR3	ENSG00000157538	203635_at,217309_s_at
LRRN3	ENSG00000173114	209841_s_at,209840_s_at
INHBA	ENSG00000122641	204926_at,210511_s_at
HSPA6	ENSG00000173110	213418_at,117_at
SIK2	ENSG00000170145	213221_s_at,215752_at
MFN2	ENSG00000116688	216205_s_at,201155_s_at
APRT	ENSG00000198931	213892_s_at,203219_s_at
COL8A2	ENSG00000171812	221900_at,52651_at
NRXN2	ENSG00000110076	209982_s_at,209983_s_at
SMAD1	ENSG00000170365	208015_at,210993_s_at
PPP2CB	ENSG00000104695	201375_s_at,201374_x_at
UTS2	ENSG00000049247	220784_s_at,220785_at
PGAP3	ENSG00000161395	221811_at,55616_at
TNFRSF9	ENSG00000049249	207536_s_at,211786_at
MAGT1	ENSG00000102158	210596_at,221553_at
SPG7	ENSG00000197912	214494_s_at,202104_s_at
CASP9	ENSG00000132906	210775_x_at,203984_s_at
NR1I2	ENSG00000144852	207203_s_at,207202_s_at
NPFF	ENSG00000139574	206402_s_at,214184_at
AVIL	ENSG00000135407	205539_at,210507_s_at
ATXN7	ENSG00000163635	209964_s_at,204516_at
RABIF	ENSG00000183155	204478_s_at,204477_at
GNAQ	ENSG00000156052	202615_at,211426_x_at
TYMP	ENSG00000025708	217497_at,204858_s_at
HHEX	ENSG00000152804	204689_at,215933_s_at
IFIT5	ENSG00000152778	203595_s_at,203596_s_at
ISG20	ENSG00000172183	33304_at,204698_at
EFEMP2	ENSG00000172638	209356_x_at,206580_s_at
OCRL	ENSG00000122126	208316_s_at,203446_s_at
RB1CC1	ENSG00000023287	202034_x_at,202033_s_at
ZNF518A	ENSG00000177853	215644_at,204291_at
POLQ	ENSG00000051341	219510_at,207746_at
E2F3	ENSG00000112242	203692_s_at,203693_s_at
HK2	ENSG00000159399	222305_at,202934_at
DPY19L1	ENSG00000173852	215433_at,212792_at
ADNP2	ENSG00000101544	203322_at,203321_s_at
NIPAL3	ENSG00000001461	214579_at,210267_at
ZBTB1	ENSG00000126804	213376_at,205092_x_at
ICMT	ENSG00000116237	201609_x_at,201610_at
WDTC1	ENSG00000142784	215497_s_at,216036_x_at
KCNG1	ENSG00000026559	214595_at,211053_at
RNF13	ENSG00000082996	201779_s_at,201780_s_at
RIMS3	ENSG00000117016	204730_at,210991_s_at
DPH5	ENSG00000117543	219590_x_at,222360_at
ACAP1	ENSG00000072818	205212_s_at,205213_at
BRF2	ENSG00000104221	218955_at,218954_s_at
NUP205	ENSG00000155561	222382_x_at,212247_at
EPB41	ENSG00000159023	214530_x_at,207793_s_at
HMOX2	ENSG00000103415	218120_s_at,218121_at
WDR55	ENSG00000120314	222114_x_at,219809_at
PPP3CB	ENSG00000107758	209817_at,202432_at
CELSR2	ENSG00000143126	36499_at,204029_at
EPHB3	ENSG00000182580	1438_at,204600_at
CSRP2	ENSG00000175183	211126_s_at,207030_s_at
ZC3H13	ENSG00000123200	209851_at,212402_at
ATP2C2	ENSG00000064270	206043_s_at,214798_at
C2CD3	ENSG00000168014	36552_at,213199_at
DPYSL3	ENSG00000113657	201431_s_at,201430_s_at
CHD1L	ENSG00000131778	212539_at,207645_s_at
PPID	ENSG00000171497	204185_x_at,204186_s_at
TAOK3	ENSG00000135090	220761_s_at,221508_at
TBRG4	ENSG00000136270	220961_s_at,220789_s_at
SP2	ENSG00000167182	204367_at,211736_at
CPM	ENSG00000135678	217557_s_at,206100_at
PNO1	ENSG00000115946	203622_s_at,211697_x_at
ORC4	ENSG00000115947	203351_s_at,203352_at
RPS21	ENSG00000171858	200834_s_at,214097_at
SLC15A2	ENSG00000163406	205317_s_at,205316_at
KIF3C	ENSG00000084731	203390_s_at,203389_at
PTPRB	ENSG00000127329	217177_s_at,205846_at
ZFP64	ENSG00000020256	218968_s_at,219536_s_at
PSIP1	ENSG00000164985	210758_at,205961_s_at
GRK5	ENSG00000198873	204395_s_at,204396_s_at
ATR	ENSG00000175054	209902_at,209903_s_at
NID1	ENSG00000116962	202008_s_at,202007_at
KIAA0586	ENSG00000100578	37232_at,205631_at
KCNJ15	ENSG00000157551	210119_at,211806_s_at
ETS2	ENSG00000157557	201329_s_at,201328_at
RRP15	ENSG00000067533	219037_at,214764_at
SNAPC5	ENSG00000174446	213203_at,214592_s_at
L1CAM	ENSG00000198910	204585_s_at,204584_at
SREBF2	ENSG00000198911	201247_at,201248_s_at
DRG2	ENSG00000108591	203267_s_at,203268_s_at
GLT8D1	ENSG00000016864	218147_s_at,218146_at
MT1G	ENSG00000125144	210472_at,204745_x_at
IRGQ	ENSG00000167378	64488_at,221877_at
ACOX3	ENSG00000087008	204241_at,204242_s_at
REEP1	ENSG00000068615	204365_s_at,204364_s_at
EIF4G3	ENSG00000075151	201936_s_at,201935_s_at
KLF5	ENSG00000102554	209212_s_at,209211_at
CRTC1	ENSG00000105662	213091_at,207159_x_at
SIRT3	ENSG00000142082	49327_at,221913_at
COPE	ENSG00000105669	201264_at,220469_at
KCNQ1	ENSG00000053918	204487_s_at,211217_s_at
ZBTB20	ENSG00000181722	222357_at,205383_s_at
SCN11A	ENSG00000168356	210853_at,220791_x_at
HIF1AN	ENSG00000166135	218525_s_at,59999_at
NDUFB8	ENSG00000166136	201227_s_at,214241_at
BAZ2B	ENSG00000123636	203080_s_at,217392_at
EIF2AK2	ENSG00000055332	204211_x_at,213294_at
MBD3	ENSG00000071655	41160_at,202463_s_at
HNRNPK	ENSG00000165119	200097_s_at,200775_s_at
RPL18	ENSG00000063177	214335_at,200022_at
SPHK2	ENSG00000063176	40273_at,209857_s_at
ZSCAN18	ENSG00000121413	218312_s_at,217593_at
NBR1	ENSG00000188554	201384_s_at,201383_s_at
MED18	ENSG00000130772	219730_at,221650_s_at
UTP18	ENSG00000011260	203721_s_at,222038_s_at
HEG1	ENSG00000173706	212822_at,213069_at
RPS11	ENSG00000142534	200031_s_at,213350_at
WARS	ENSG00000140105	200628_s_at,200629_at
RAB11FIP3	ENSG00000090565	203933_at,214999_s_at
GPX3	ENSG00000211445	201348_at,214091_s_at
OAZ3	ENSG00000143450	222075_s_at,213863_s_at
TRAF4	ENSG00000076604	202871_at,211899_s_at
COL18A1	ENSG00000182871	209082_s_at,209081_s_at
DNAJB9	ENSG00000128590	202842_s_at,202843_at
B3GALNT1	ENSG00000169255	211379_x_at,211812_s_at
B4GALT4	ENSG00000121578	210540_s_at,212876_at
B4GALT6	ENSG00000118276	206232_s_at,206233_at
ZNF207	ENSG00000010244	200828_s_at,200829_x_at
BMPR1A	ENSG00000107779	213578_at,204832_s_at
KIAA0040	ENSG00000235750	203144_s_at,203143_s_at
KIF5B	ENSG00000170759	201991_s_at,201992_s_at
PCYT1A	ENSG00000161217	204209_at,204210_s_at
MAST2	ENSG00000086015	215661_at,215660_s_at,211593_s_at
PTHLH	ENSG00000087494	211756_at,210355_at,206300_s_at
SLC2A3	ENSG00000059804	202498_s_at,202497_x_at,202499_s_at
ISCA1	ENSG00000135070	209274_s_at,209273_s_at,221425_s_at
SLC39A9	ENSG00000029364	216011_at,216009_at,217859_s_at
TFAM	ENSG00000108064	203176_s_at,208541_x_at,203177_x_at
KLF6	ENSG00000067082	211610_at,208961_s_at,208960_s_at
MIOS	ENSG00000164654	206860_s_at,211724_x_at,209672_s_at
MCF2	ENSG00000101977	214884_at,217004_s_at,208017_s_at
STAG2	ENSG00000101972	207983_s_at,209023_s_at,209022_at
INVS	ENSG00000119509	211054_at,211055_s_at,210114_at
SLC7A11	ENSG00000151012	207528_s_at,209921_at,217678_at
NACA	ENSG00000196531	200735_x_at,208635_x_at,222018_at
RPL12	ENSG00000197958	214271_x_at,200809_x_at,200088_x_at
HS3ST1	ENSG00000002587	213991_s_at,205466_s_at,205465_x_at
LYST	ENSG00000143669	210943_s_at,215415_s_at,203518_at
CLN5	ENSG00000102805	204085_s_at,214252_s_at,204084_s_at
TRADD	ENSG00000102871	205641_s_at,1729_at,213443_at
BCAN	ENSG00000132692	219107_at,221623_at,91920_at
ADCY9	ENSG00000162104	204497_at,215400_x_at,204498_s_at
SNW1	ENSG00000100603	215424_s_at,222183_x_at,201575_at
SENP5	ENSG00000119231	222110_at,213184_at,57703_at
PRPF31	ENSG00000105618	202407_s_at,214380_at,202408_s_at
G3BP2	ENSG00000138757	208840_s_at,206383_s_at,208841_s_at
SEPT11	ENSG00000138758	201307_at,214293_at,201308_s_at
GGCX	ENSG00000115486	214005_at,205351_at,214006_s_at
AFF1	ENSG00000172493	215451_s_at,201924_at,211826_s_at
RABGAP1	ENSG00000011454	204028_s_at,213313_at,215070_x_at
PSMD4	ENSG00000159352	211609_x_at,210459_at,210460_s_at
LOX	ENSG00000113083	213640_s_at,204298_s_at,215446_s_at
FBXL18	ENSG00000155034	215068_s_at,216395_at,220896_at
ZC3H14	ENSG00000100722	213063_at,213064_at,204216_s_at
SERP1	ENSG00000120742	200971_s_at,200970_s_at,200969_at
RABEP2	ENSG00000177548	219057_at,77508_r_at,74694_s_at
AP2S1	ENSG00000042753	202120_x_at,208074_s_at,211047_x_at
ARPC2	ENSG00000163466	208679_s_at,207988_s_at,213513_x_at
RPL31	ENSG00000071082	200962_at,221593_s_at,200963_x_at
SLC1A4	ENSG00000115902	209610_s_at,209611_s_at,212810_s_at
HDLBP	ENSG00000115677	219674_s_at,221767_x_at,200643_at
PTGS1	ENSG00000095303	205128_x_at,205127_at,215813_s_at
ATP2B4	ENSG00000058668	212135_s_at,212136_at,205410_s_at
MCFD2	ENSG00000180398	212245_at,216089_at,212246_at
TCF25	ENSG00000141002	213311_s_at,214704_at,221495_s_at
CLDN18	ENSG00000066405	214135_at,221132_at,221133_s_at
RPL38	ENSG00000172809	221943_x_at,202029_x_at,202028_s_at
LRCH4	ENSG00000077454	90610_at,222017_x_at,221956_at
PDE10A	ENSG00000112541	211170_s_at,211171_s_at,205501_at
STC1	ENSG00000159167	204596_s_at,204597_x_at,204595_s_at
ATG12	ENSG00000145782	204833_at,213026_at,213930_at
MBP	ENSG00000197971	209072_at,210136_at,207323_s_at
RPL37A	ENSG00000197756	213459_at,214041_x_at,201429_s_at
CCNT2	ENSG00000082258	214638_s_at,204645_at,213743_at
RGS14	ENSG00000169220	38290_at,211021_s_at,204280_at
PRMT2	ENSG00000160310	210384_at,221564_at,202098_s_at
LRRN2	ENSG00000170382	216167_at,205154_at,216164_at
SENP3	ENSG00000161956	215114_at,203871_at,215113_s_at
CNR1	ENSG00000118432	207940_x_at,208243_s_at,213436_at
CUL3	ENSG00000036257	201370_s_at,201372_s_at,201371_s_at
ISG20L2	ENSG00000143319	212766_s_at,216502_at,208114_s_at
ARMC9	ENSG00000135931	219636_s_at,220754_at,219637_at
EIF4E2	ENSG00000135930	213571_s_at,209393_s_at,213570_at
SMPD1	ENSG00000166311	217171_at,216230_x_at,209420_s_at
TACC1	ENSG00000147526	217437_s_at,200911_s_at,217433_at
ACHE	ENSG00000087085	205378_s_at,205377_s_at,210332_at
SGSM2	ENSG00000141258	36129_at,217538_at,212319_at
CDYL	ENSG00000153046	203098_at,203100_s_at,203099_s_at
RPS28	ENSG00000233927	208902_s_at,208904_s_at,208903_at
TSHR	ENSG00000165409	215442_s_at,215443_at,210055_at
AVL9	ENSG00000105778	212474_at,212475_at,212471_at
PRPF4B	ENSG00000112739	202127_at,211090_s_at,202126_at
COL4A6	ENSG00000197565	211473_s_at,210945_at,213992_at
LARP1	ENSG00000155506	210966_x_at,212193_s_at,212137_at
SPTAN1	ENSG00000197694	215235_at,214926_at,214925_s_at
HNRNPL	ENSG00000104824	202072_at,35201_at,221860_at
HLA-DPA1	ENSG00000231389	213537_at,211991_s_at,211990_at
GLIPR1	ENSG00000139278	204222_s_at,204221_x_at,214085_x_at
TRAPPC9	ENSG00000167632	221672_s_at,221836_s_at,56829_at
TACSTD2	ENSG00000184292	202286_s_at,202287_s_at,202285_s_at
TMEM97	ENSG00000109084	212282_at,214283_at,212279_at
HADHA	ENSG00000084754	208631_s_at,208629_s_at,208630_at
SORBS1	ENSG00000095637	218087_s_at,211819_s_at,211705_s_at
PHTF1	ENSG00000116793	210191_s_at,215285_s_at,205702_at
CCND2	ENSG00000118971	200951_s_at,200952_s_at,200953_s_at
TAOK2	ENSG00000149930	204986_s_at,204878_s_at,204877_s_at
LAPTM4B	ENSG00000104341	208029_s_at,214039_s_at,208767_s_at
TBC1D22A	ENSG00000054611	210144_at,209650_s_at,33778_at
SUB1	ENSG00000113387	221727_at,212857_x_at,214512_s_at
ARHGAP26	ENSG00000145819	205068_s_at,215955_x_at,205069_s_at
TBC1D9B	ENSG00000197226	215994_x_at,212052_s_at,206431_x_at
DLAT	ENSG00000150768	211150_s_at,213149_at,212568_s_at
TOR1AIP1	ENSG00000143337	212409_s_at,216100_s_at,212408_at
EMP1	ENSG00000134531	213895_at,201324_at,201325_s_at
ASXL1	ENSG00000171456	212234_at,212238_at,212237_at
ARL4C	ENSG00000188042	202207_at,202206_at,213759_at
JUND	ENSG00000130522	214326_x_at,203752_s_at,203751_x_at
PPP2R4	ENSG00000119383	206452_x_at,208874_x_at,216105_x_at
TGM4	ENSG00000163810	217567_at,206260_at,217566_s_at
UBE2N	ENSG00000177889	201524_x_at,212751_at,201523_x_at
SUPT7L	ENSG00000119760	201836_s_at,201837_s_at,201838_s_at
KDM6A	ENSG00000147050	203990_s_at,203992_s_at,203991_s_at
HLF	ENSG00000108924	204753_s_at,204755_x_at,204754_at
NPEPPS	ENSG00000141279	201455_s_at,201454_s_at,214101_s_at
NUDC	ENSG00000090273	210574_s_at,210575_at,201173_x_at
PTPN22	ENSG00000134242	206060_s_at,208011_at,208010_s_at
DKC1	ENSG00000130826	216212_s_at,201478_s_at,201479_at
SLC6A8	ENSG00000130821	210854_x_at,202219_at,213843_x_at
RECK	ENSG00000122707	216156_at,216153_x_at,205407_at
CDC25C	ENSG00000158402	216914_at,205167_s_at,217010_s_at
PITPNA	ENSG00000174238	201191_at,201192_s_at,201190_s_at
NUP98	ENSG00000110713	210793_s_at,203194_s_at,203195_s_at
ARNT	ENSG00000143437	218222_x_at,210828_s_at,218221_at
EIF3B	ENSG00000106263	203462_x_at,211501_s_at,208688_x_at
TRIM23	ENSG00000113595	204732_s_at,210995_s_at,210994_x_at
SCAF11	ENSG00000139218	213850_s_at,209376_x_at,206989_s_at
AHI1	ENSG00000135541	220842_at,221569_at,220841_s_at
MXD4	ENSG00000123933	212347_x_at,210778_s_at,212346_s_at
TPI1	ENSG00000111669	210050_at,213011_s_at,200822_x_at
CD86	ENSG00000114013	210895_s_at,205686_s_at,205685_at
ABCA1	ENSG00000165029	203505_at,216066_at,203504_s_at
DEDD	ENSG00000158796	215158_s_at,202480_s_at,211255_x_at
SKP2	ENSG00000145604	210567_s_at,203626_s_at,203625_x_at
SLC25A16	ENSG00000122912	210686_x_at,209910_at,214140_at
GRHPR	ENSG00000137106	216308_x_at,201347_x_at,214864_s_at
TXNIP	ENSG00000117289	201010_s_at,201008_s_at,201009_s_at
JRK	ENSG00000234616	214692_s_at,37872_at,216309_x_at
EIF2S1	ENSG00000134001	201144_s_at,201143_s_at,201142_at
WDHD1	ENSG00000198554	204728_s_at,204727_at,216228_s_at
STK24	ENSG00000102572	208855_s_at,215188_at,208854_s_at
SMARCA5	ENSG00000153147	213251_at,202303_x_at,213859_x_at
PEX3	ENSG00000034693	203972_s_at,203969_at,203970_s_at
PRKAR1A	ENSG00000108946	200605_s_at,200603_at,200604_s_at
FLII	ENSG00000177731	222065_s_at,212025_s_at,212024_x_at
CACNB2	ENSG00000165995	207776_s_at,213714_at,215365_at
RCHY1	ENSG00000163743	214281_s_at,212749_s_at,212743_at
SNTB1	ENSG00000172164	208608_s_at,215431_at,214708_at
MID1	ENSG00000101871	203637_s_at,203636_at,210694_s_at
PSMB1	ENSG00000008018	214289_at,214288_s_at,200876_s_at
MYOF	ENSG00000138119	211864_s_at,201798_s_at,217518_at
NUFIP1	ENSG00000083635	205136_s_at,205134_s_at,205135_s_at
RASGRF1	ENSG00000058335	215688_at,214905_at,210550_s_at
PADI4	ENSG00000159339	220001_at,211413_s_at,211412_at
GAS2L1	ENSG00000185340	31874_at,208258_s_at,209729_at
ANK3	ENSG00000151150	209442_x_at,206385_s_at,207950_s_at
GADD45B	ENSG00000099860	213560_at,207574_s_at,209305_s_at
ALDH3A2	ENSG00000072210	202054_s_at,210544_s_at,202053_s_at
ADARB1	ENSG00000197381	203865_s_at,209979_at,207999_s_at
CIITA	ENSG00000179583	205101_at,210925_at,211884_s_at
LPAR1	ENSG00000198121	204038_s_at,204037_at,204036_at
BCL2L1	ENSG00000171552	212312_at,215037_s_at,206665_s_at
H2AFY	ENSG00000113648	214501_s_at,214500_at,207168_s_at
MAPRE3	ENSG00000084764	203842_s_at,214270_s_at,203841_x_at
CHD4	ENSG00000111642	201183_s_at,201182_s_at,201184_s_at
RAD23B	ENSG00000119318	201222_s_at,201223_s_at,214422_at
KDM6B	ENSG00000132510	41387_r_at,41386_i_at,213146_at
CDC42EP3	ENSG00000163171	209287_s_at,209286_at,209288_s_at
PTPRF	ENSG00000142949	200637_s_at,200635_s_at,215066_at
DLEC1	ENSG00000008226	207896_s_at,215085_x_at,206798_x_at
ZNF3	ENSG00000166526	219605_at,219604_s_at,212684_at
EZH1	ENSG00000108799	32259_at,203249_at,211310_at
EPB41L1	ENSG00000088367	222066_at,212339_at,212336_at
SETD2	ENSG00000181555	220946_s_at,212493_s_at,215038_s_at
TNXB	ENSG00000168477	208609_s_at,216654_at,217413_s_at
TRIM38	ENSG00000112343	203567_s_at,203610_s_at,203568_s_at
PPAP2B	ENSG00000162407	209355_s_at,212230_at,212226_s_at
TRIM29	ENSG00000137699	202504_at,211001_at,211002_s_at
KIAA1109	ENSG00000138688	216294_s_at,214929_s_at,212779_at
MPPE1	ENSG00000154889	213727_x_at,209858_x_at,206764_x_at
SMCR7L	ENSG00000100335	204594_s_at,221516_s_at,204593_s_at
SEC23IP	ENSG00000107651	209176_at,216392_s_at,209175_at
COL5A1	ENSG00000130635	212489_at,203325_s_at,212488_at
PHTF2	ENSG00000006576	209780_at,217097_s_at,215286_s_at
ITCH	ENSG00000078747	217094_s_at,209744_x_at,209743_s_at
EML2	ENSG00000125746	204397_at,204398_s_at,204399_s_at
